année académique plan,semestre plan,code matière,matière,section responsable,type d'enseignement,nb étudiants,jour,heure début séance,heure fin séance,espace (code),nb.places dans l'espace,nombre total d'espaces,nombre total de places,overbooking
2023-2024,HIVER,MGT-464,"Globalisation, robotics and the future of work",Management de la technologie,Cours,60,wednesday,10:15,12:00,ODY016,80,1,80,non
2023-2024,HIVER,MGT-469,Intercultural presentation skills,Management de la technologie,Cours,44,thursday,14:15,16:00,ODY-10021,44,1,44,non
2023-2024,HIVER,MGT-469,Intercultural presentation skills,Management de la technologie,Cours,44,friday,08:15,10:00,ODY-10021,44,1,44,non
2023-2024,HIVER,MGT-469,Intercultural presentation skills,Management de la technologie,Exercices,44,thursday,16:15,18:00,ODY-10021,44,1,44,non
2023-2024,HIVER,MGT-469,Intercultural presentation skills,Management de la technologie,Exercices,44,friday,10:15,12:00,ODY-10021,44,1,44,non
2023-2024,HIVER,MGT-482,Principles of finance,Management de la technologie,Cours,106,thursday,16:15,18:00,CM3,190,1,190,non
2023-2024,HIVER,MGT-482,Principles of finance,Management de la technologie,Exercices,106,tuesday,10:15,12:00,CE1,214,2,312,non
2023-2024,HIVER,MGT-482,Principles of finance,Management de la technologie,Exercices,106,tuesday,10:15,12:00,CE5,98,2,312,non
2023-2024,HIVER,MGT-484,Applied probability & stochastic processes,Management de la technologie,Cours,80,friday,13:15,15:00,CM1121,100,1,100,non
2023-2024,HIVER,MGT-484,Applied probability & stochastic processes,Management de la technologie,Exercices,80,friday,15:15,17:00,CM1,184,1,184,non
2023-2024,HIVER,MGT-493,Information security & digital trust,Management de la technologie,Cours,67,thursday,08:15,10:00,SG0213,80,1,80,non
2023-2024,HIVER,MGT-493,Information security & digital trust,Management de la technologie,Exercices,67,thursday,15:15,16:00,BS270,72,1,72,non
2023-2024,HIVER,MGT-494,Economics for challenging times,Management de la technologie,Cours,43,tuesday,10:15,12:00,ELG120,48,1,48,non
2023-2024,HIVER,MGT-494,Economics for challenging times,Management de la technologie,Cours,43,tuesday,13:15,15:00,ELG120,48,1,48,non
2023-2024,HIVER,MGT-498,Platforms & digital business models,Management de la technologie,Cours,35,friday,08:15,12:00,SG0213,80,1,80,non
2023-2024,HIVER,MGT-499,Statistics and data science,Management de la technologie,Cours,35,wednesday,13:15,15:00,SG0213,80,1,80,non
2023-2024,HIVER,MGT-499,Statistics and data science,Management de la technologie,Cours,35,wednesday,14:15,16:00,SG0213,80,1,80,non
2023-2024,HIVER,MGT-499,Statistics and data science,Management de la technologie,Exercices,35,wednesday,15:15,17:00,SG0213,80,1,80,non
2023-2024,HIVER,MGT-499,Statistics and data science,Management de la technologie,Exercices,35,wednesday,16:15,18:00,SG0213,80,1,80,non
2023-2024,HIVER,MGT-510,Performance Management,Management de la technologie,Cours,35,thursday,13:15,16:00,ODY016,80,1,80,non
2023-2024,HIVER,MGT-532,Marketing & sustainability in a digital world,Management de la technologie,Cours,33,monday,08:15,12:00,ODY016,80,1,80,non
2023-2024,HIVER,MGT-535,Transformative project,Management de la technologie,Projet,33,tuesday,08:15,12:00,BS260,72,1,144,non
2023-2024,HIVER,MGT-535,Transformative project,Management de la technologie,Projet,33,tuesday,08:15,13:00,BS260,72,1,144,non
2023-2024,HIVER,MGT-535,Transformative project,Management de la technologie,Projet,33,tuesday,09:15,13:00,BS260,72,1,72,non
2023-2024,HIVER,MGT-535,Transformative project,Management de la technologie,Projet,33,wednesday,13:15,17:00,CM010,48,2,88,non
2023-2024,HIVER,MGT-535,Transformative project,Management de la technologie,Projet,33,wednesday,13:15,18:00,BC03,40,2,88,non
2023-2024,HIVER,MGT-535,Transformative project,Management de la technologie,Projet,33,thursday,10:15,15:00,AAC114,60,1,60,non
2023-2024,HIVER,MGT-555,Innovation & entrepreneurship in engineering,Management de la technologie,Cours,47,friday,09:15,11:00,GRA330,58,1,58,non
2023-2024,HIVER,MGT-555,Innovation & entrepreneurship in engineering,Management de la technologie,Projet,47,friday,08:15,09:00,GRA330,58,1,58,non
2023-2024,HIVER,MGT-555,Innovation & entrepreneurship in engineering,Management de la technologie,Projet,47,friday,11:15,18:00,GRA330,58,1,58,non
2023-2024,HIVER,MICRO-100,Electrotechnique I,Microtechnique,Cours,326,friday,10:15,12:00,CE6,308,3,448,non
2023-2024,HIVER,MICRO-100,Electrotechnique I,Microtechnique,Cours,326,friday,10:15,12:00,MED22519,70,3,448,non
2023-2024,HIVER,MICRO-100,Electrotechnique I,Microtechnique,Cours,326,friday,10:15,12:00,MED22524,70,3,448,non
2023-2024,HIVER,MICRO-100,Electrotechnique I,Microtechnique,Exercices,326,friday,12:15,13:00,CE1104,70,5,590,non
2023-2024,HIVER,MICRO-100,Electrotechnique I,Microtechnique,Exercices,326,friday,12:15,13:00,CE1105,72,5,590,non
2023-2024,HIVER,MICRO-100,Electrotechnique I,Microtechnique,Exercices,326,friday,12:15,13:00,CE6,308,5,590,non
2023-2024,HIVER,MICRO-100,Electrotechnique I,Microtechnique,Exercices,326,friday,12:15,13:00,MED22519,70,5,590,non
2023-2024,HIVER,MICRO-100,Electrotechnique I,Microtechnique,Exercices,326,friday,12:15,13:00,MED22524,70,5,590,non
2023-2024,HIVER,MICRO-200,Conception de mécanismes I,Microtechnique,Cours,170,tuesday,08:15,10:00,CM1,184,1,184,non
2023-2024,HIVER,MICRO-200,Conception de mécanismes I,Microtechnique,Cours,170,thursday,10:15,12:00,CE3,214,1,214,non
2023-2024,HIVER,MICRO-200,Conception de mécanismes I,Microtechnique,Exercices,170,tuesday,10:15,12:00,CE1515,162,2,346,non
2023-2024,HIVER,MICRO-200,Conception de mécanismes I,Microtechnique,Exercices,170,tuesday,10:15,12:00,CM1,184,2,346,non
2023-2024,HIVER,MICRO-200,Conception de mécanismes I,Microtechnique,Exercices,170,thursday,12:15,13:00,CE1104,70,3,383,non
2023-2024,HIVER,MICRO-200,Conception de mécanismes I,Microtechnique,Exercices,170,thursday,12:15,13:00,CE1106,99,3,383,non
2023-2024,HIVER,MICRO-200,Conception de mécanismes I,Microtechnique,Exercices,170,thursday,12:15,13:00,CE3,214,3,383,non
2023-2024,HIVER,MICRO-310(a),Signaux et systèmes I (pour MT),Microtechnique,Cours,139,tuesday,08:15,10:00,CE1,214,1,214,non
2023-2024,HIVER,MICRO-310(a),Signaux et systèmes I (pour MT),Microtechnique,Exercices,139,tuesday,10:15,12:00,AAC132,60,2,140,non
2023-2024,HIVER,MICRO-310(a),Signaux et systèmes I (pour MT),Microtechnique,Exercices,139,tuesday,10:15,12:00,SG0213,80,2,140,non
2023-2024,HIVER,MICRO-310(b),Signaux et systèmes I (pour SV),Microtechnique,Cours,129,wednesday,14:15,16:00,SG0211,112,1,112,oui
2023-2024,HIVER,MICRO-310(b),Signaux et systèmes I (pour SV),Microtechnique,Exercices,129,wednesday,16:15,18:00,SG0211,112,1,112,oui
2023-2024,HIVER,MICRO-312,Physique des composants semiconducteurs,Microtechnique,Cours,67,tuesday,15:15,17:00,CM3,190,1,190,non
2023-2024,HIVER,MICRO-312,Physique des composants semiconducteurs,Microtechnique,Cours,67,friday,09:15,10:00,CE12,187,1,187,non
2023-2024,HIVER,MICRO-313,Actionneurs et systèmes électromagnétiques I,Microtechnique,Cours,135,wednesday,10:15,12:00,ELA1,122,1,122,oui
2023-2024,HIVER,MICRO-321(a),Ingénierie optique (pour MT),Microtechnique,Cours,124,monday,12:15,14:00,CE1,214,1,214,non
2023-2024,HIVER,MICRO-321(a),Ingénierie optique (pour MT),Microtechnique,Exercices,124,monday,14:15,15:00,CE1,214,1,214,non
2023-2024,HIVER,MICRO-321(a),Ingénierie optique (pour MT),Microtechnique,TP,124,thursday,13:15,16:00,MED21120,70,1,70,oui
2023-2024,HIVER,MICRO-321(a),Ingénierie optique (pour MT),Microtechnique,TP,124,thursday,16:15,19:00,MED21120,70,1,70,oui
2023-2024,HIVER,MICRO-321(a),Ingénierie optique (pour MT),Microtechnique,TP,124,friday,13:15,16:00,MED21120,70,1,70,oui
2023-2024,HIVER,MICRO-321(a),Ingénierie optique (pour MT),Microtechnique,TP,124,friday,16:15,19:00,MED21120,70,1,70,oui
2023-2024,HIVER,MICRO-321(b),Ingénierie optique (pour EL),Microtechnique,Cours,7,monday,12:15,14:00,CE1,214,1,214,non
2023-2024,HIVER,MICRO-321(b),Ingénierie optique (pour EL),Microtechnique,Exercices,7,monday,14:15,15:00,CE1,214,1,214,non
2023-2024,HIVER,MICRO-331,Microfabrication technologies,Microtechnique,Cours,138,wednesday,08:15,10:00,CE12,187,1,187,non
2023-2024,HIVER,MICRO-331,Microfabrication technologies,Microtechnique,Cours,138,thursday,08:15,10:00,CM4,129,1,129,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,08:15,09:00,GRA332,59,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,08:15,09:00,MED31119,,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,09:15,10:00,GRA332,59,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,09:15,10:00,MED31119,,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,10:15,11:00,GRA332,59,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,10:15,11:00,MED31119,,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,11:15,12:00,GRA332,59,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,11:15,12:00,MED31119,,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,12:15,13:00,GRA332,59,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,12:15,13:00,MED31119,,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,13:15,15:00,GRA332,59,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,13:15,15:00,MED31119,,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,15:15,17:00,GRA332,59,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,15:15,17:00,MED31119,,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,17:15,19:00,GRA332,59,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,monday,17:15,19:00,MED31119,,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,tuesday,17:15,19:00,GRA332,59,2,59,oui
2023-2024,HIVER,MICRO-332,Microfabrication practicals,Microtechnique,TP,130,tuesday,17:15,19:00,MED31119,,2,59,oui
2023-2024,HIVER,MICRO-390,"Light, liquids and interfaces",Microtechnique,Cours,11,tuesday,13:15,15:00,ELG116,24,1,24,non
2023-2024,HIVER,MICRO-390,"Light, liquids and interfaces",Microtechnique,Exercices,11,tuesday,15:15,17:00,ELG116,24,1,24,non
2023-2024,HIVER,MICRO-401,Machine learning programming,Microtechnique,TP,161,wednesday,08:15,10:00,CM1111,24,4,126,oui
2023-2024,HIVER,MICRO-401,Machine learning programming,Microtechnique,TP,161,wednesday,08:15,10:00,CM1112,36,4,126,oui
2023-2024,HIVER,MICRO-401,Machine learning programming,Microtechnique,TP,161,wednesday,08:15,10:00,GRB001,40,4,126,oui
2023-2024,HIVER,MICRO-401,Machine learning programming,Microtechnique,TP,161,wednesday,08:15,10:00,GRC002,26,4,126,oui
2023-2024,HIVER,MICRO-405,Systems engineering,Microtechnique,Cours,0,monday,15:15,17:00,BC02,40,1,40,non
2023-2024,HIVER,MICRO-405,Systems engineering,Microtechnique,Projet,0,monday,17:15,18:00,BC02,40,1,40,non
2023-2024,HIVER,MICRO-406,Products design & systems engineering,Microtechnique,Cours,45,thursday,16:15,18:00,CM5,129,1,129,non
2023-2024,HIVER,MICRO-406,Products design & systems engineering,Microtechnique,Cours,45,friday,09:15,11:00,CO2,218,1,218,non
2023-2024,HIVER,MICRO-406,Products design & systems engineering,Microtechnique,Cours,45,friday,16:15,17:00,PO01,180,1,180,non
2023-2024,HIVER,MICRO-406,Products design & systems engineering,Microtechnique,Projet,45,tuesday,11:15,13:00,CE1101,64,1,64,non
2023-2024,HIVER,MICRO-406,Products design & systems engineering,Microtechnique,Projet,45,friday,13:15,16:00,PO01,180,1,180,non
2023-2024,HIVER,MICRO-420,Selected topics in advanced optics,Microtechnique,Cours,32,tuesday,08:15,10:00,INM203,38,1,38,non
2023-2024,HIVER,MICRO-420,Selected topics in advanced optics,Microtechnique,Cours,32,tuesday,10:15,11:00,BC07-08,35,1,35,non
2023-2024,HIVER,MICRO-422,Lasers: theory and modern applications,Microtechnique,Cours,22,wednesday,13:15,15:00,CM011,56,1,56,non
2023-2024,HIVER,MICRO-422,Lasers: theory and modern applications,Microtechnique,Cours,22,friday,13:15,14:00,CHB330,68,1,68,non
2023-2024,HIVER,MICRO-422,Lasers: theory and modern applications,Microtechnique,Exercices,22,friday,14:15,15:00,CHB330,68,1,68,non
2023-2024,HIVER,MICRO-424,Optics laboratories (autumn),Microtechnique,TP,5,friday,14:15,17:00,MED21117,,1,,oui
2023-2024,HIVER,MICRO-431,Materials and technology of microfabrication,Microtechnique,Cours,20,friday,09:15,11:00,BS270,72,1,72,non
2023-2024,HIVER,MICRO-431,Materials and technology of microfabrication,Microtechnique,Exercices,20,friday,11:15,12:00,BS270,72,1,72,non
2023-2024,HIVER,MICRO-435,Quantum and nanocomputing,Microtechnique,Cours,18,tuesday,14:15,17:00,AAC132,60,1,60,non
2023-2024,HIVER,MICRO-435,Quantum and nanocomputing,Microtechnique,Cours,18,wednesday,13:15,14:00,BS150,64,1,64,non
2023-2024,HIVER,MICRO-435,Quantum and nanocomputing,Microtechnique,Exercices,18,wednesday,14:15,16:00,BS150,64,1,64,non
2023-2024,HIVER,MICRO-450,Basics of robotics for manipulation,Microtechnique,Cours,207,wednesday,10:15,13:00,CO2,218,1,218,non
2023-2024,HIVER,MICRO-452,Basics of mobile robotics,Microtechnique,Cours,213,tuesday,15:15,17:00,CE12,187,1,187,oui
2023-2024,HIVER,MICRO-452,Basics of mobile robotics,Microtechnique,Exercices,213,tuesday,17:15,19:00,CM1104,49,2,229,non
