label,start_datetime,end_datetime,room_capacity,room_name,course_name,course_code
cours,2024-03-22 13:00:00,2024-03-22 14:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-03-22 14:00:00,2024-03-22 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
cours,2024-04-10 13:00:00,2024-04-10 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-04-19 14:00:00,2024-04-19 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-05-03 14:00:00,2024-05-03 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
cours,2024-05-17 13:00:00,2024-05-17 14:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-02-28 14:00:00,2024-02-28 17:00:00,,ELD040,TP en conversion d'énergie,EE-390(b)
exercice,2024-05-08 14:00:00,2024-05-08 17:00:00,,ELD040,TP en conversion d'énergie,EE-390(b)
exercice,2024-04-09 13:00:00,2024-04-09 15:00:00,100.0,CM1121,Analysis IV,MATH-207(c)
cours,2024-04-15 13:00:00,2024-04-15 15:00:00,348.0,SG1138,Analysis IV,MATH-207(c)
exercice,2024-04-16 13:00:00,2024-04-16 15:00:00,100.0,CM1121,Analysis IV,MATH-207(c)
exercice,2024-04-23 13:00:00,2024-04-23 15:00:00,114.0,CM1105,Analysis IV,MATH-207(c)
exercice,2024-04-23 13:00:00,2024-04-23 15:00:00,100.0,CM1121,Analysis IV,MATH-207(c)
exercice,2024-05-14 13:00:00,2024-05-14 15:00:00,100.0,CM1121,Analysis IV,MATH-207(c)
exercice,2024-05-28 13:00:00,2024-05-28 15:00:00,49.0,CM1104,Analysis IV,MATH-207(c)
cours,2024-02-28 10:00:00,2024-02-28 12:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
projet,2024-02-28 12:00:00,2024-02-28 14:00:00,32.0,CO4,Conception de mécanismes II,MICRO-201
cours,2024-03-06 10:00:00,2024-03-06 12:00:00,184.0,CM11,Conception de mécanismes II,MICRO-201
projet,2024-03-06 12:00:00,2024-03-06 14:00:00,41.0,CO6,Conception de mécanismes II,MICRO-201
cours,2024-03-20 10:00:00,2024-03-20 12:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
projet,2024-03-20 12:00:00,2024-03-20 14:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
